[14.04.2025 07:39:15] INFO     [restaurant_api] - 👋 Запрос статуса сервера: {'статус': 'активен', 'время_сервера': '14.04.2025 07:%М:15', 'сообщение': 'Сервис бронирования столиков работает', 'версия': '1.0.0'}
[14.04.2025 07:39:16] INFO     [restaurant_api] - 👋 Запрос статуса сервера: {'статус': 'активен', 'время_сервера': '14.04.2025 07:%М:16', 'сообщение': 'Сервис бронирования столиков работает', 'версия': '1.0.0'}
[14.04.2025 07:39:21] INFO     [restaurant_api] - 📋 Запрос на получение списка всех столов
[14.04.2025 07:39:34] INFO     [restaurant_api] - ➕ Попытка создания нового стола: {'name': 'Летник-3', 'seats': 3, 'location': 'Беседка'}
[14.04.2025 07:39:35] INFO     [restaurant_api] - ➕ Попытка создания нового бронирования: стол 2 на 2025-04-19 21:15:00
[14.04.2025 07:39:36] INFO     [restaurant_api] - 📋 Запрос на получение списка всех бронирований
[14.04.2025 07:39:36] ERROR    [restaurant_api] - ❌ Ошибка при получении списка бронирований: module 'app.models' has no attribute 'Reservation'
[14.04.2025 07:40:31] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[14.04.2025 07:41:53] INFO     [restaurant_api] - 👋 Запрос статуса сервера: {'статус': 'активен', 'время_сервера': '14.04.2025 07:%М:53', 'сообщение': 'Сервис бронирования столиков работает', 'версия': '1.0.0'}
[14.04.2025 07:42:30] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[14.04.2025 07:42:37] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[14.04.2025 07:43:20] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[14.04.2025 07:43:22] INFO     [restaurant_api] - 🚀 Сервис RestaurantAPI запущен
[14.04.2025 07:45:16] INFO     [restaurant_api] - 👋 Запрос статуса сервера: {'статус': 'активен', 'время_сервера': '14.04.2025 07:%М:16', 'сообщение': 'Сервис бронирования столиков работает', 'версия': '1.0.0'}[14.04.2025 10:25:24] ERROR    [restaurant_api] - ❌ Ошибка при получении списка бронирований: module 'app.models' has no attribute 'Reservation'
[14.04.2025 10:42:25] ERROR    [restaurant_api] - ❌ Ошибка при получении списка бронирований: module 'app.models' has no attribute 'Reservation'
